lbl,category,length,msr,value,lb,ub,se,is_sig
f508,PI,1480,r2,-0.04107407529828544,-0.23527346928719045,0.028379885127205875,0.06882372714029637,False
f508,PI,All,r2,0.31426118226984157,0.23013475332018882,0.38306743103767293,0.038352990056779085,True
f508,infection,1480,r2,-0.04120241705738059,-0.21025891681265174,0.0007886165463431844,0.05334653962346535,False
f508,infection,All,r2,0.0038392736140059336,-0.03487024095683101,0.025148254309900957,0.014797329728843709,False
f508,lung_max_All,1480,r2,-0.053037856927842464,-0.21215821103902838,-0.029613723527158776,0.048559357503746944,True
f508,lung_max_All,All,r2,-0.04118572120027486,-0.10477150614908388,-0.018870049193459994,0.02585952690508565,True
f508,lung_mid_All,1480,r2,-0.02608008789816596,-0.3053010836118338,0.016352638717029223,0.08596458710250938,False
f508,lung_mid_All,All,r2,-0.006669490513199872,-0.06356337408196014,0.001964881965923849,0.016116601950142986,False
f508,lung_min_All,1480,r2,-0.04309541577157594,-0.15398785919978805,-0.005057227470612209,0.03692738025546134,True
f508,lung_min_All,All,r2,-0.032295227277931104,-0.11222468766173006,-0.013480768077161111,0.022844564639237917,True
f508,sweat,1480,r2,-0.08278515993851743,-0.19724483384886554,-0.027036391080697227,0.04560865105463681,True
f508,sweat,All,r2,0.2048734423026204,0.11813701645712646,0.2568971496498817,0.03444708156707831,True
int,PI,1480,r2,-0.004177125832103945,-0.09090964456906049,0.047624736973074504,0.037364562521286664,False
int,PI,All,r2,0.4099609360130003,0.3279632818664926,0.4710089394410869,0.03474867287043738,True
int,infection,1480,r2,-0.024645933189310076,-0.14713176786518,-0.002778565643558801,0.039494516641756044,True
int,infection,All,r2,-0.008817360481246261,-0.033082999617831885,-0.002150095641531313,0.007657191654182547,True
int,lung_max_All,1480,r2,-0.010525864100876747,-0.09563700896391485,0.0008774117787251113,0.024123167030981836,False
int,lung_max_All,All,r2,-0.012368304218318915,-0.0526238155353506,-0.0041420386032582435,0.01344997971570985,True
int,lung_mid_All,1480,r2,-0.04881588894865363,-0.19672229224390875,-0.016878316883770894,0.04890588679127033,True
int,lung_mid_All,All,r2,-0.022155880437393805,-0.07101272964682497,-0.012275321631755261,0.01496017403551324,True
int,lung_min_All,1480,r2,-0.04256432238909702,-0.13166641767036263,-0.018960922552076834,0.02951655527907659,True
int,lung_min_All,All,r2,-0.03567278623256054,-0.0911490446278856,-0.022251184257256792,0.017573255426456942,True
int,sweat,1480,r2,-0.056004715165072216,-0.16632523930131132,-0.009610322611788666,0.04366487247382997,True
int,sweat,All,r2,0.2585075389275562,0.21133676248869265,0.2964191513498195,0.021211484399758028,True
f508,PI,1480,tau,0.1076438946619967,-0.05737589086269563,0.2485719997473406,0.0762050062639008,False
f508,PI,All,tau,0.41955427777922566,0.34567448698277703,0.4983252371610162,0.03871736797945535,True
f508,infection,1480,tau,-0.04420769199149435,-0.1985953752580348,0.1090242681810305,0.07819319319907571,False
f508,infection,All,tau,0.04048280609387848,-0.05321264940482641,0.14711449121206485,0.050420973898950706,False
f508,lung_max_All,1480,tau,-0.2873346996449492,-0.46904419836052647,-0.07290566984756683,0.11383563109488276,True
f508,lung_max_All,All,tau,-0.19120850880005696,-0.3477134180294209,-0.04036984099305538,0.08258604059466856,True
f508,lung_mid_All,1480,tau,0.10091704573768435,-0.16066417768671606,0.3069494621350343,0.13510973744207128,False
f508,lung_mid_All,All,tau,-0.04473069432890933,-0.18788600860301152,0.12457609426622446,0.08017786413653437,False
f508,lung_min_All,1480,tau,-0.24808784673662848,-0.4843950113545869,0.021558674495618765,0.1247755899597076,False
f508,lung_min_All,All,tau,-0.2064950155996598,-0.3357965679129971,-0.0581231159728971,0.06883528935245661,True
f508,sweat,1480,tau,-0.12669471720453263,-0.25423795254687703,0.004465877500337513,0.06769208619850557,False
f508,sweat,All,tau,0.2700944425111415,0.17292936285252183,0.34783572874409235,0.04600383130107586,True
int,PI,1480,tau,0.15588376733995363,0.05264381663489637,0.26118777373869617,0.05448371285928959,True
int,PI,All,tau,0.45052324061407134,0.3769858567754097,0.5086253168239667,0.03264553359391405,True
int,infection,1480,tau,-0.05339476760125078,-0.20374985532604348,0.0954150461097179,0.07848281548420348,False
int,infection,All,tau,-0.07984977179350292,-0.19060563083617152,0.013936473008623912,0.05292071288174564,False
int,lung_max_All,1480,tau,-0.06359861360129437,-0.24382615137975547,0.1408721099509133,0.09764940276304374,False
int,lung_max_All,All,tau,-0.08684394132666538,-0.21908940245825811,0.054724437844432004,0.06808608955878745,False
int,lung_mid_All,1480,tau,-0.20140377733197348,-0.3705686437654517,-0.004389963265630786,0.0900274738704218,True
int,lung_mid_All,All,tau,-0.12833370710885378,-0.26041591754754845,-0.003286973977360705,0.065785790867498,True
int,lung_min_All,1480,tau,-0.19116582124129072,-0.3642495691648517,-0.014738517472199685,0.09369327003282785,True
int,lung_min_All,All,tau,-0.15257827363331763,-0.268085044896283,-0.02384131958703269,0.06144948465041809,True
int,sweat,1480,tau,-0.05235914465007099,-0.18200018882632785,0.08599145586603074,0.06510322680792635,False
int,sweat,All,tau,0.3268742434762778,0.26063563763616504,0.3847297662762402,0.03317724710536727,True
f508,PI,1480,rho,0.16471838800271915,-0.08215121348865347,0.36505388048214643,0.10823453271889456,False
f508,PI,All,rho,0.5947144104044961,0.49855187997354433,0.6875747906582388,0.04770675446901716,True
f508,infection,1480,rho,-0.06763169046063316,-0.27803347870626205,0.14251989626194145,0.10897270755332712,False
f508,infection,All,rho,0.0657531178174972,-0.07290398297379516,0.2268624617371301,0.07461629897083255,False
f508,lung_max_All,1480,rho,-0.3768151669687365,-0.5896159076415964,-0.10858469612521775,0.1396654256310722,True
f508,lung_max_All,All,rho,-0.24954465626320255,-0.4464116575640126,-0.04414407598997746,0.10574263524372791,True
f508,lung_mid_All,1480,rho,0.12871117805111043,-0.20240410213052476,0.41552940654619014,0.17693303241011105,False
f508,lung_mid_All,All,rho,-0.060903889136909015,-0.253628797675355,0.1668439633540432,0.10557235515251595,False
f508,lung_min_All,1480,rho,-0.31634864764465886,-0.5987555114981323,0.01922355763817014,0.15421797621906164,False
f508,lung_min_All,All,rho,-0.2847766412108895,-0.44166617125236507,-0.08139183358027217,0.09153353958008772,True
f508,sweat,1480,rho,-0.18905755044731895,-0.3713896255017237,-0.0019303914701289603,0.09735598714571639,True
f508,sweat,All,rho,0.39487472316334227,0.25629494243065426,0.5046714101564774,0.06540450617063777,True
int,PI,1480,rho,0.24114866017668604,0.09956246725998666,0.40192450317792516,0.07965692631278133,True
int,PI,All,rho,0.634225290108496,0.537055657066994,0.697378606391573,0.04008813093242628,True
int,infection,1480,rho,-0.07009075894425712,-0.27149391298456527,0.12291103743526535,0.10275985566437883,False
int,infection,All,rho,-0.10755916829421296,-0.25435127360396514,0.017561189429619303,0.0700220524467444,False
int,lung_max_All,1480,rho,-0.08796164471392011,-0.33029391280210924,0.18944737971644826,0.12902606132357844,False
int,lung_max_All,All,rho,-0.12250673748158059,-0.30743980324247616,0.06784189724926552,0.09238560919053193,False
int,lung_mid_All,1480,rho,-0.2661936347291354,-0.48089787878468554,-0.004148946268719949,0.11851510336085609,True
int,lung_mid_All,All,rho,-0.17312896611226397,-0.34490269266351087,-0.0017373094472651778,0.08771991196300988,True
int,lung_min_All,1480,rho,-0.24926957690730206,-0.4707902346459918,-0.00418126026410213,0.12368439300438905,True
int,lung_min_All,All,rho,-0.20469754952003766,-0.3564902033734203,-0.022335573615468365,0.0824330310201788,True
int,sweat,1480,rho,-0.07924673842949653,-0.257497742696649,0.12209688540974506,0.0937377459120476,False
int,sweat,All,rho,0.48679201432243324,0.38817859377802855,0.5634688966602747,0.045878606971370216,True
