category,lbl,msr,value,lb,ub,se,is_sig
Infection Rate,All-hetero average,r2,0.028624262606487982,0.0007305818123445801,0.11124251277598388,0.030915101899991547,True
Infection Rate,F508-hetero,r2,0.009877275873906521,4.1793134584586244e-05,0.07543242134414471,0.02477321710430501,True
Infection Rate,Homozygous,r2,0.022704423559220088,0.00018407026180432,0.2780246538255343,0.07868792978473735,True
Infection Rate,Mutation average,r2,0.029938776924889665,0.0007470201904391183,0.08843014673370896,0.0246662370355709,True
Pancreatic Insuff.,All-hetero average,r2,0.04237271921794805,0.0036325319597892538,0.1336430814639593,0.034527761095966204,True
Pancreatic Insuff.,F508-hetero,r2,0.11583105040709274,0.040050019000661935,0.2347830741434791,0.051334866015901814,True
Pancreatic Insuff.,Homozygous,r2,0.20474678119324563,0.026993496266821917,0.4243723271684196,0.09973712315400511,True
Pancreatic Insuff.,Mutation average,r2,0.07379733242809683,0.011815005861297004,0.1924566466739739,0.04489047710094725,True
Sweat Chloride,All-hetero average,r2,0.008160437156736311,1.6606460930995717e-05,0.05207417817931689,0.0147965322633464,True
Sweat Chloride,F508-hetero,r2,0.018606386031493227,9.967575696538946e-05,0.06678647968725115,0.018959641522665525,True
Sweat Chloride,Homozygous,r2,0.1632443446417312,0.004803836430906109,0.4075385670670303,0.1154692874747947,True
Sweat Chloride,Mutation average,r2,0.010919641776512945,8.690315909473946e-05,0.05918751908033144,0.01608193731505587,True
Infection Rate,All-hetero average,tau,0.18023565045426854,0.07275641676269687,0.2832859976395891,0.04974025336961396,True
Infection Rate,F508-hetero,tau,0.12109190163264191,0.01624436809454178,0.22161896479084645,0.05391885389620804,True
Infection Rate,Homozygous,tau,0.20024434951079753,-0.040066465285489565,0.4372288530853793,0.13092528711032086,False
Infection Rate,Mutation average,tau,0.14738363474329297,0.05983938629171718,0.2436296364363982,0.049467938453147293,True
Pancreatic Insuff.,All-hetero average,tau,0.16248680487582984,0.0640891732312674,0.27335519462827884,0.05462484327128214,True
Pancreatic Insuff.,F508-hetero,tau,0.2028662399528455,0.09497148029726406,0.3192030527017167,0.05541776479171443,True
Pancreatic Insuff.,Homozygous,tau,0.23558725562633928,0.005512628147373711,0.424697567083147,0.10279362978833274,True
Pancreatic Insuff.,Mutation average,tau,0.1921648219230019,0.08439405652585795,0.3014186811294865,0.05320661155732495,True
Sweat Chloride,All-hetero average,tau,0.019981373310410035,-0.062451261464229184,0.12505521322131538,0.05146808979656345,False
Sweat Chloride,F508-hetero,tau,0.08102990552520972,-0.019983471465810684,0.1699839033495196,0.05100598133512827,False
Sweat Chloride,Homozygous,tau,0.14767451843872928,-0.13627715517596325,0.3650730796471573,0.13153607678528878,False
Sweat Chloride,Mutation average,tau,0.039982544954622105,-0.05297196488118564,0.14621761623000806,0.050544011320793725,False
Infection Rate,All-hetero average,rho,0.26599955830068817,0.10736943413056244,0.4080130908713551,0.07141915836507186,True
Infection Rate,F508-hetero,rho,0.18058732512046333,0.03159044903445247,0.32864260834920045,0.07869250042645312,True
Infection Rate,Homozygous,rho,0.25568429402709697,-0.08901575217307972,0.5765854870125847,0.18108543137996824,False
Infection Rate,Mutation average,rho,0.2166900620476905,0.08868112540081201,0.35738474401920695,0.07160166653572791,True
Pancreatic Insuff.,All-hetero average,rho,0.22761641924703013,0.0815922899268295,0.3872467739781488,0.07678881174156432,True
Pancreatic Insuff.,F508-hetero,rho,0.2998783542871039,0.14438513966129002,0.44825120911891286,0.0749133559452756,True
Pancreatic Insuff.,Homozygous,rho,0.34019193399862674,0.011492232665508672,0.5835417961119364,0.14440446062715523,True
Pancreatic Insuff.,Mutation average,rho,0.26736231104601466,0.12046679919232414,0.41774334629665333,0.07237024838331252,True
Sweat Chloride,All-hetero average,rho,0.03206685401052845,-0.09401978494334007,0.18914739886435933,0.07548944938081188,False
Sweat Chloride,F508-hetero,rho,0.12423066305616812,-0.02762054057076764,0.2646848670322711,0.07507980977360604,False
Sweat Chloride,Homozygous,rho,0.22625607853870247,-0.18573114657457307,0.5122987596199772,0.18025051499942063,False
Sweat Chloride,Mutation average,rho,0.0577240256540421,-0.08165900466991932,0.20644891889090214,0.07304917828951596,False
Infection Rate,All-hetero average,pearson,0.169187063945468,0.027028405918921854,0.3335294436554515,0.08318150550252859,True
Infection Rate,F508-hetero,pearson,0.09938448507642741,-0.1022385010842548,0.2746495340021502,0.09893558108514237,False
Infection Rate,Homozygous,pearson,0.1506798711149577,-0.17837206622832674,0.5272802831999962,0.18819834976248132,False
Infection Rate,Mutation average,pearson,0.17302825470104516,0.027331669100266492,0.29737049515950037,0.07165837456525859,True
Pancreatic Insuff.,All-hetero average,pearson,0.2058463485659826,0.0602692258107051,0.3655717311511369,0.0792851022646237,True
Pancreatic Insuff.,F508-hetero,pearson,0.3403396103998074,0.2001211855754987,0.4845343233289347,0.07395808813347934,True
Pancreatic Insuff.,Homozygous,pearson,0.45248953710914197,0.16376988806096332,0.6514384355082355,0.11874791112731907,True
Pancreatic Insuff.,Mutation average,pearson,0.27165664436581827,0.10869450010910367,0.43869242611956644,0.081592495855956,True
Sweat Chloride,All-hetero average,pearson,0.0903351379958898,-0.020863825299761565,0.2281975520323316,0.06700190251624194,False
Sweat Chloride,F508-hetero,pearson,0.13640522728800847,-0.00020115163217195888,0.25842238411422574,0.07127732522237686,False
Sweat Chloride,Homozygous,pearson,0.4040350784792469,0.04829199162832626,0.6383833549260864,0.15786855644124795,True
Sweat Chloride,Mutation average,pearson,0.10449708979925236,-0.014214249956396611,0.2432848399087646,0.06679294349393328,False
Infection Rate,All-hetero average,somersd,0.18000144289733777,0.07209436548589564,0.2810006493038021,0.049334463403430166,True
Infection Rate,F508-hetero,somersd,0.1212030525213228,0.01608184946880138,0.22000785575340417,0.05356175930297256,True
Infection Rate,Homozygous,somersd,0.20243902439024386,-0.0409146341463415,0.4207317073170731,0.12732106824944261,False
Infection Rate,Mutation average,somersd,0.1468747205579899,0.05976817490834299,0.2426048466422248,0.049160361381460904,True
Pancreatic Insuff.,All-hetero average,somersd,0.16143070855433161,0.06421868625051007,0.272016523867809,0.05420010335698755,True
Pancreatic Insuff.,F508-hetero,somersd,0.2016060862214708,0.09376232741617356,0.31691849816849826,0.05489846205236005,True
Pancreatic Insuff.,Homozygous,somersd,0.24146341463414633,0.010060975609756113,0.40810975609756095,0.09840639623922721,True
Pancreatic Insuff.,Mutation average,somersd,0.1921402969790067,0.08443953746373101,0.29926501962792285,0.05290288761474562,True
Sweat Chloride,All-hetero average,somersd,0.020416024653312714,-0.06210837185413456,0.1246725731895223,0.0511433661285845,False
Sweat Chloride,F508-hetero,somersd,0.08138994086771634,-0.01930934821606536,0.16936914490731514,0.05062751155674185,False
Sweat Chloride,Homozygous,somersd,0.14750290360046447,-0.13443670150987222,0.35423925667828104,0.12815869431298374,False
Sweat Chloride,Mutation average,somersd,0.03932539682539682,-0.052467261904761864,0.1453730158730159,0.05019903051339837,False
