category,lbl,msr,value,lb,ub,se,is_sig
Infection Rate,All-hetero average,rho,0.2846029847382113,0.11999788745458917,0.42013259186612245,0.07316975661806847,True
Infection Rate,All-hetero average,somersd,0.18865882692446423,0.0850193475119447,0.2792467532560053,0.04786473280762913,True
Infection Rate,All-hetero average,tau,0.19271235985218604,0.08888474910539251,0.28221084787604384,0.048530167061972086,True
Infection Rate,F508-hetero,rho,0.2356353143109922,0.08101572457804443,0.37317018996912404,0.07540667598657348,True
Infection Rate,F508-hetero,somersd,0.16339967080652396,0.0641879815100155,0.263139320029564,0.050712471086913284,True
Infection Rate,F508-hetero,tau,0.16482347308723097,0.06530293284113399,0.267457938535851,0.051725043230027364,True
Infection Rate,Homozygous,rho,,,,,False
Infection Rate,Homozygous,somersd,0.20975609756097557,0.0,0.43235481422071576,0.11549005202865578,False
Infection Rate,Homozygous,tau,,,,,False
Infection Rate,Mutation average,rho,0.19845972200708192,0.06676426419182602,0.33830792641388585,0.06807237479463951,True
Infection Rate,Mutation average,somersd,0.13556290798533488,0.047678358854705186,0.23057153607288247,0.04622464245506083,True
Infection Rate,Mutation average,tau,0.13629013314692795,0.04608909940268229,0.2335346969981452,0.04681611010121117,True
Pancreatic Insuff.,All-hetero average,rho,0.2894337076391333,0.12090973142267093,0.47264193458272663,0.09183244048910265,True
Pancreatic Insuff.,All-hetero average,somersd,0.3212294301645586,0.19736767245815834,0.44321861217915604,0.06427857369808083,True
Pancreatic Insuff.,All-hetero average,tau,0.3431294792628979,0.2103337402665461,0.4657364722648249,0.06760175877837529,True
Pancreatic Insuff.,F508-hetero,rho,0.30500906624340196,0.13926492717147482,0.4613900611766542,0.08329378467198213,True
Pancreatic Insuff.,F508-hetero,somersd,0.350662158354466,0.20650753698427618,0.4590314053133248,0.06201621280010078,True
Pancreatic Insuff.,F508-hetero,tau,0.35476289798409083,0.2274867825252003,0.4821021334264046,0.06467273896378727,True
Pancreatic Insuff.,Homozygous,rho,0.5238449749683517,0.15370498247617861,0.726905746477085,0.1467522802052951,True
Pancreatic Insuff.,Homozygous,somersd,0.40975609756097553,0.11198782961460448,0.5090344891140485,0.10138228533397736,True
Pancreatic Insuff.,Homozygous,tau,0.39702615607208847,0.16913795737850598,0.5732811362066261,0.10392549853293478,True
Pancreatic Insuff.,Mutation average,rho,0.3345550186044182,0.1853915403863026,0.49854812695960443,0.08080863098860101,True
Pancreatic Insuff.,Mutation average,somersd,0.3596603515958354,0.23894778384647145,0.4739909483212046,0.060268600875873365,True
Pancreatic Insuff.,Mutation average,tau,0.3658406612369459,0.24233173338463498,0.4816479038618514,0.061640522930374336,True
Sweat Chloride,All-hetero average,rho,0.23525426838031252,0.05935549577645039,0.4106766956845357,0.09519022220947447,True
Sweat Chloride,All-hetero average,somersd,0.25552131484334883,0.11974073948423745,0.31962928836782006,0.050400318592802175,True
Sweat Chloride,All-hetero average,tau,0.2569618147612678,0.1197812386901641,0.3237142889319257,0.05109116381928847,True
Sweat Chloride,F508-hetero,rho,0.2708843059114227,0.08890981614348054,0.45422602599271994,0.09525110496042975,True
Sweat Chloride,F508-hetero,somersd,0.27247358979469793,0.14635126059593695,0.3573552521681057,0.05129993107398863,True
Sweat Chloride,F508-hetero,tau,0.2750530541188227,0.1537315670944383,0.3620092567466622,0.05226504202702643,True
Sweat Chloride,Homozygous,rho,0.33271158824240893,0.010300275346715244,0.6271124285642775,0.16262828116546127,True
Sweat Chloride,Homozygous,somersd,0.22880371660859455,0.023493657505285433,0.44933932346723054,0.1154215169481707,True
Sweat Chloride,Homozygous,tau,0.23959212861040638,0.02829080278309307,0.4622868265150236,0.11865871810045454,True
Sweat Chloride,Mutation average,rho,0.22783031883069818,0.07575033136931261,0.39301681321171483,0.08088057407231965,True
Sweat Chloride,Mutation average,somersd,0.27464285714285697,0.1594688418159413,0.3361937202834514,0.04681565871174769,True
Sweat Chloride,Mutation average,tau,0.27624338410128146,0.1615720990348372,0.343689846914229,0.04773821650142543,True
